id,trim,subTrim,condition,isOneOwner,mileage,year,color,displacement,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount,price,miles1K
5466,550,unsp,Used,t,29293,2011,Black,5.5 L,Gasoline,TN,ESC,Harman Kardon,unsp,unsp,46,51990,29.293
5469,550,unsp,Used,f,32051,2011,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,3,49981,32.051
5470,550,unsp,Used,f,46607,2011,Black,5.5 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,52,44000,46.607
5471,550,unsp,CPO,t,39537,2011,White,5.5 L,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,27,49994,39.537
5472,550,unsp,Used,f,32330,2011,White,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,49995,32.33
5474,550,unsp,Used,t,7470,2011,White,5.5 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,54881,7.47
5475,550,unsp,CPO,f,18506,2011,Black,5.5 L,Gasoline,MD,SoA,Premium,Alloy,unsp,72,55909,18.506
5480,550,unsp,CPO,f,31169,2011,Silver,5.5 L,Gasoline,FL,SoA,Harman Kardon,unsp,unsp,99,46900,31.169
5482,550,unsp,CPO,f,33638,2011,Silver,5.5 L,Gasoline,FL,SoA,Premium,Alloy,unsp,72,49991,33.638
5537,63 AMG,unsp,Used,f,34771,2011,Silver,5.5 L,Gasoline,CA,Pac,Harman Kardon,unsp,unsp,106,69895,34.771
5586,550,unsp,CPO,t,41056,2011,Black,5.5 L,Gasoline,NY,Mid,Premium,Alloy,unsp,74,43989,41.056
5588,550,unsp,Used,f,48778,2011,Silver,5.5 L,Gasoline,NJ,Mid,unsp,Alloy,unsp,49,42995,48.778
5591,550,unsp,Used,f,46311,2011,Silver,5.5 L,Gasoline,OH,ENC,Premium,Alloy,unsp,60,49500,46.311
5592,550,unsp,Used,f,47298,2011,Brown,5.5 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,68,53891,47.298
5593,550,unsp,Used,t,35876,2011,Black,5.5 L,Gasoline,FL,SoA,Premium,Alloy,18,72,36999,35.876
5599,550,unsp,CPO,f,20458,2011,Black,5.5 L,Gasoline,OH,ENC,Premium,Alloy,unsp,42,49494,20.458
5600,550,unsp,Used,f,16096,2011,Black,5.5 L,Gasoline,NY,Mid,unsp,unsp,unsp,4,52900,16.096
5608,550,unsp,Used,t,46643,2011,Black,5.5 L,Gasoline,MA,New,Harman Kardon,unsp,19,76,44900,46.643
5612,550,unsp,Used,f,50000,2011,Silver,5.5 L,Gasoline,MD,SoA,unsp,unsp,unsp,29,53750,50
5614,550,unsp,Used,t,39187,2011,Red,5.5 L,Gasoline,GA,SoA,Harman Kardon,Premium,unsp,50,44991,39.187
