"item","ped","IPA"
"STELLA CIDRE 6 PK                   ",-1.2,FALSE
"PACIFICO 12PK BTLS                  ",-1.03,FALSE
"CORONA 6PK BTL                      ",-1.63,FALSE
"CORONA 12PK BTL                     ",-1.26,FALSE
"CORONA LT 6PK BTL                   ",-1.86,FALSE
"CORONA 24OZ BTL                     ",-1.2,FALSE
"CORONA LT 12PK BTL                  ",-1.38,FALSE
"CORONA 12PK CAN                     ",-1.41,FALSE
"MODELO ESPECIAL 18PK CAN            ",-1.52,FALSE
"MODELO ESPECIAL 12PK CAN            ",-1.29,FALSE
"MODELO ESPECIAL 24 CAN              ",-1.28,FALSE
"BLUE MOUNTAIN DRY CIDER 4PK         ",-0.42,FALSE
"BUD 25OZ CAN                        ",-1.1,FALSE
"MODELO ESPECIAL 6PK                 ",-1.92,FALSE
"NEGROMODELO 6PK                     ",-1.82,FALSE
"SILVER CITY SEASONAL                ",-1.45,FALSE
"SILVER CITY NICE DAY IPA 6 PK CAN   ",-2.15,TRUE
"ELYSIAN IMMORTAL IPA  22OZ NR       ",-4.18,TRUE
"ELYSIAN IMPORTAL IPA 6PK            ",-3.83,TRUE
"ELYSIAN MENS ROOM RED ALE 22 OZ NR  ",-2.38,FALSE
"ELYSIAN MENSROOM RED 6PK            ",-3.68,FALSE
"ELYSIAN MENS RM BLACK 22 OZ         ",-2.55,FALSE
"ELYSIAN SEASONAL 22                 ",-2.58,FALSE
"BUD LT 25 OZ CAN                    ",-1.16,FALSE
"ELYSIAN SEASONAL 6PK                ",-4.28,FALSE
"ELYSIAN SPACE DUST IPA              ",-3.77,TRUE
"ELYSIAN SPACE DUST 6PK              ",-3.18,FALSE
"ELYSIAN DARK O THE MOON 22          ",-2.79,FALSE
"ELYSIAN MANIC IPA SERIES 22         ",-3.69,TRUE
"BECKS 24OZ BTL                      ",-1.6,FALSE
"BECKS 6-12 BTL                      ",-1.1,FALSE
"HAAKE BECK NON ALCOHOL 6/12 OZ      ",-1.3,FALSE
"SNOQUALMIE COPPERHEAD PALE          ",-1.4,FALSE
"SNOQUALMIE WILDCAT IPA 22OZ BTL     ",-2.42,TRUE
"BUD LT CHELADA 25 OZ CAN            ",-1.08,FALSE
"SNOQUALMIE STEAM PORTER             ",-1.11,FALSE
"SNOQUALMIE FALLS SEASONAL           ",-1.17,FALSE
"SNOQUALMIE LIMITED RELEASE 22       ",-1.26,FALSE
"SIERRA NEVADA VTY 12PK              ",-1.21,FALSE
"SIERRA  NEVADA SEASONAL 6PK         ",-1.72,FALSE
"SIERRA NEV TORPEDO 6PK              ",-2.1,FALSE
"SIERRA NEV PALE ALE 12PK            ",-1.23,FALSE
"SIERRA NEV PALE ALE 6PK             ",-2.08,FALSE
"SIERRA NEVADA HOP HUNTER IPA 6PK    ",-3.33,TRUE
"SIERRA NEVADA NOONER PILSNER        ",-1.27,FALSE
"BEST DAMN CHERRY COLA 16 SINGLE     ",-1.28,FALSE
"SIERRA NEVADA TORPEDO 12PK CAN      ",-1.28,FALSE
"ANTHEM CHERRY 4 PK                  ",-1.13,FALSE
"GUINNESSS DRAUGHT 6PK BTL           ",-6.05,FALSE
"GUINNESS DRAUGHT 4PK CAN            ",-4.84,FALSE
"GUINESS BLONDE 6 PK NR              ",-1.25,FALSE
"HARP LAGER 6PK                      ",-1.91,FALSE
"CRABBIES GINGER BEER                ",-0.59,FALSE
