residence,twobed_rent,twobed_sf,furnished,pool,distance_from_tower,laundry_in_unit,electricity,water,address,y_coordinate,x_coordinate
Texan West Campus,949,808,0,1,0.7,1,0,0,"2616 Salado St Austin, TX 78705",30.292272,-97.745457
The Ruckus,1300,973,1,0,0.4,1,0,0,"2502 Nueces St Austin, TX 78705",30.289619,-97.743347
Twelve Oaks Condominiums,924,800,0,0,0.6,0,0,0,"704 W 21st St Austin, TX 78705",30.284432,-97.745872
Twenty Two 15,1115,793,0,0,0.5,1,0,0,"2215 Rio Grande St Austin, TX 78705",30.286309,-97.744429
University House,1229,797,1,1,0.3,1,0,1,"2100 San Antonio St Austin, TX 78705",30.284114,-97.743304
Vanderbilt Condominiums,910,846,0,0,0.6,1,0,0,"912 W 22nd St Austin, TX 78705",30.285754,-97.747739
Vintage West Campus,1134,900,0,0,0.6,1,1,1,"904 W 22 1/2 St Austin, TX 78705",30.286516,-97.746975
Warwick Apartments,812.5,950,0,0,0.9,0,0,0,"2907 West Ave Austin, TX 78705",30.297253,-97.744492
Waterford Condominiums,775,925,0,0,0.7,1,0,0,"2401 Leon St. Austin, TX 78705",30.288436,-97.748892
Wedgewood Condominiums,847.5,948,0,0,0.6,0,0,0,"2802 Nueces St. Austin, TX 78705",30.293743,-97.742901
West Ridge Condos,775,769,0,0,0.7,0,0,0,"914 W 26th St. Austin, TX 78705",30.291069,-97.74723
Westplace,812.5,729,0,0,0.8,1,0,0,"2706 Salado St. Austin, TX 78705",30.292871,-97.745532
Winchester Condominiums,800,710,0,1,0.8,0,0,0,"2414 Longview St. Austin, TX 78705",30.289396,-97.751301
Wynnwood Condominiums,800,782,0,0,0.6,1,0,0,"711 W 21st St. Austin, TX 78705",30.283971,-97.746347
