"","return"
"2007-01-04",0.0221958483148379
"2007-01-05",-0.00712126947268088
"2007-01-08",0.0049382716049382
"2007-01-09",0.0830699426699426
"2007-01-10",0.0478558990414906
"2007-01-11",-0.0123710917632088
"2007-01-12",-0.0123173679769476
"2007-01-16",0.0262099745330817
"2007-01-17",-0.0221422048256316
"2007-01-18",-0.0619273380002955
"2007-01-19",-0.00639941705167857
"2007-01-22",-0.0193219000516972
"2007-01-23",-0.0125591882678102
"2007-01-24",0.011668845896742
"2007-01-25",-0.00519049524468351
"2007-01-26",-0.0100868178590988
"2007-01-29",0.00655891247983953
"2007-01-30",-0.00453818901203729
"2007-01-31",0.00210417309663002
"2007-02-01",-0.0115478351524242
"2007-02-02",0.000117960804631556
"2007-02-05",-0.00955766281461579
"2007-02-06",0.00250178710992532
"2007-02-07",0.0237672263228628
"2007-02-08",0.000348090507432008
"2007-02-09",-0.0337663510682918
"2007-02-12",0.0193346915814063
"2007-02-13",-0.00212078198103927
"2007-02-14",0.00708396694214875
"2007-02-15",-0.00105533396642432
"2007-02-16",-0.00445943006308458
"2007-02-20",0.0126133673175355
"2007-02-21",0.0384167189018261
"2007-02-22",0.00347551600677276
"2007-02-23",-0.00491587488183443
"2007-02-26",-0.0062871906977241
"2007-02-27",-0.0517454369104648
"2007-02-28",0.00810208507089238
"2007-03-01",0.0289563853959214
"2007-03-02",-0.0189525826829697
"2007-03-05",0.0106544906055259
"2007-03-06",0.0216636710687521
"2007-03-07",-0.00532949289808393
"2007-03-08",0.00319197460975706
"2007-03-09",-0.000340772742762452
"2007-03-12",0.0215982247040376
"2007-03-13",-0.0163569593253828
"2007-03-14",0.0180995919411948
"2007-03-15",-0.0047777329086458
"2007-03-16",0.000223199702150234
"2007-03-19",0.0171894176944116
"2007-03-20",0.00384066701017582
"2007-03-21",0.0261258842970755
"2007-03-22",0.000958687546606996
"2007-03-23",-0.00468275901939197
"2007-03-26",0.0249143712574851
"2007-03-27",-0.00406869100208174
"2007-03-28",-0.0232558958092691
"2007-03-29",0.00546966966966966
"2007-03-30",-0.00896000076458658
"2007-04-02",0.00796482686167921
"2007-04-03",0.00907630500474932
"2007-04-04",-0.00243377777777776
"2007-04-05",0.00434925177899625
"2007-04-09",-0.0108788325882341
"2007-04-10",0.00640666283367164
"2007-04-11",-0.0176125221363423
"2007-04-12",-0.00432020699252988
"2007-04-13",-0.0211520121488231
"2007-04-16",0.0131870573221213
"2007-04-17",-0.011812184701397
"2007-04-18",0.000553182020747611
"2007-04-19",-0.00143778780147619
"2007-04-20",0.00775451320423004
"2007-04-23",0.0279212011096581
"2007-04-24",-0.00288743437547079
"2007-04-25",0.0226297297297298
"2007-04-26",0.0366020361448152
"2007-04-27",0.0109266288951841
"2007-04-30",-0.00120076075269338
"2007-05-01",-0.00330669312170784
"2007-05-02",0.00924897959183668
"2007-05-03",9.95716744522923e-05
"2007-05-04",0.00408370550467763
"2007-05-07",0.0308502740144936
"2007-05-08",0.0109698986562858
"2007-05-09",0.0173234335684969
"2007-05-10",0.00430374235390185
"2007-05-11",0.0130426696153534
"2007-05-14",0.00570171113132734
"2007-05-15",-0.0168250926719161
"2007-05-16",-0.00167421874999985
"2007-05-17",0.0195640044230301
"2007-05-18",0.00529989093200567
"2007-05-21",0.0178149414422875
"2007-05-22",0.0139309866811224
"2007-05-23",-0.00572478421701583
"2007-05-24",-0.0194881375152353
"2007-05-25",0.0264703605724355
"2007-05-29",0.00642506623570016
"2007-05-30",0.0386532185060025
"2007-05-31",0.0203753796160391
"2007-06-01",-0.0230217359862522
"2007-06-04",0.0247466579135127
"2007-06-05",0.0110442272179496
"2007-06-06",0.00790742720216131
"2007-06-07",0.00347780676012976
"2007-06-08",0.00338518610963345
"2007-06-11",-0.0345408339183066
"2007-06-12",0.00158089691322072
"2007-06-13",-0.023924205088938
"2007-06-14",0.0106380925305778
"2007-06-15",0.0147368435944599
"2007-06-18",0.0380913896854498
"2007-06-19",-0.0114316731952994
"2007-06-20",-0.0170631068675619
"2007-06-21",0.0193337082024228
"2007-06-22",-0.00726395480225994
"2007-06-25",-0.00536575627205715
"2007-06-26",-0.0219880319118499
"2007-06-27",0.0187212716236538
"2007-06-28",-0.0109114782778885
"2007-06-29",0.0122760127588595
"2007-07-02",-0.0063913149516206
"2007-07-03",0.0487383835552289
"2007-07-05",0.0438781131475592
"2007-07-06",-0.00338974041941154
"2007-07-09",-0.0148903703703703
"2007-07-10",0.0154991478401241
"2007-07-11",0.000302108028584547
"2007-07-12",0.0126897809616906
"2007-07-13",0.0272993228790528
"2007-07-16",0.00268635713180654
"2007-07-17",0.00586519896118176
"2007-07-18",-0.00568707845543825
"2007-07-19",0.0136113818016619
"2007-07-20",0.0267858000000001
"2007-07-23",-0.000347881710089926
"2007-07-24",-0.0613083072704718
"2007-07-25",0.0175699014011417
"2007-07-26",0.0636748050801457
"2007-07-27",-0.0147260813848723
"2007-07-30",-0.0168231630170316
"2007-07-31",-0.068373024255648
"2007-08-01",0.0245903172185984
"2007-08-02",0.0110369767967131
"2007-08-03",-0.0339951048722952
"2007-08-06",0.0257867553322635
"2007-08-07",-0.0016265878484758
"2007-08-08",-0.00755396578538103
"2007-08-09",-0.056861254252183
"2007-08-10",-0.0109977361185787
"2007-08-13",0.0223200305715179
"2007-08-14",-0.029423332396275
"2007-08-15",-0.0332983944755821
"2007-08-16",-0.0237698741027564
"2007-08-17",0.0428023252559531
"2007-08-20",0.00131076511153427
"2007-08-21",0.0437734249713631
"2007-08-22",0.0387239356015303
