"Subject","Session","Trial","FarAway","Littered","PictureTarget.RT","Side"
15,2,3,0,0,518,"left"
15,2,4,0,0,453,"left"
15,2,5,0,0,449,"right"
15,2,6,0,0,458,"left"
15,2,7,0,0,415,"right"
15,2,8,0,0,463,"right"
15,2,9,0,0,484,"right"
15,2,10,0,0,451,"right"
15,3,1,0,0,457,"left"
15,3,2,0,0,502,"right"
15,3,3,0,0,388,"left"
15,3,4,0,0,406,"left"
15,3,5,0,0,402,"right"
15,3,6,0,0,401,"right"
15,3,7,0,0,389,"right"
15,3,8,0,0,407,"right"
15,3,9,0,0,438,"left"
15,3,10,0,0,454,"left"
15,4,1,0,0,642,"left"
15,4,2,0,0,415,"right"
15,4,3,0,0,383,"right"
15,4,4,0,0,352,"right"
15,4,5,0,0,572,"left"
15,4,6,0,0,417,"left"
15,4,7,0,0,408,"left"
15,4,8,0,0,733,"right"
15,4,9,0,0,517,"left"
15,4,10,0,0,554,"right"
18,1,1,0,0,505,"left"
18,1,2,0,0,575,"left"
18,1,3,0,0,1019,"right"
18,1,4,0,0,522,"left"
18,1,5,0,0,483,"right"
18,1,6,0,0,627,"left"
18,1,7,0,0,461,"right"
18,1,8,0,0,592,"right"
18,1,9,0,0,690,"left"
18,1,10,0,0,529,"right"
18,2,1,0,0,442,"right"
18,2,2,0,0,612,"right"
18,2,3,0,0,421,"left"
18,2,4,0,0,621,"left"
18,2,5,0,0,670,"right"
18,2,6,0,0,425,"left"
18,2,7,0,0,499,"right"
18,2,8,0,0,411,"left"
18,2,9,0,0,458,"right"
18,2,10,0,0,566,"left"
18,3,1,0,0,693,"right"
18,3,2,0,0,382,"left"
18,3,3,0,0,510,"left"
18,3,4,0,0,910,"left"
18,3,5,0,0,744,"right"
18,3,6,0,0,544,"left"
18,3,7,0,0,519,"left"
18,3,8,0,0,584,"right"
18,3,9,0,0,602,"right"
18,3,10,0,0,474,"right"
18,4,1,0,0,489,"left"
18,4,2,0,0,444,"right"
18,4,3,0,0,494,"left"
18,4,4,0,0,768,"left"
18,4,5,0,0,516,"right"
18,4,6,0,0,698,"right"
18,4,7,0,0,474,"right"
18,4,8,0,0,474,"right"
18,4,9,0,0,792,"left"
18,4,10,0,0,419,"left"
20,1,1,0,0,498,"right"
20,1,2,0,0,399,"right"
20,1,3,0,0,596,"left"
20,1,4,0,0,478,"left"
20,1,5,0,0,479,"right"
20,1,6,0,0,359,"left"
20,1,7,0,0,409,"right"
20,1,8,0,0,389,"right"
20,1,9,0,0,391,"left"
20,1,10,0,0,414,"left"
20,2,1,0,0,415,"right"
20,2,2,0,0,489,"left"
20,2,3,0,0,578,"left"
20,2,4,0,0,515,"right"
